sku,asin,fnsku,name,category,product_category,sub_category,moq,lead_time_days,cogs,units_per_box,dimensions,weight_kg,cbm,is_active,amazon_active,noon_active,country,saddl_id
0042CP-0008,B08V51GXS3,X001ZX02UH,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0009,B0CZBVZTJR,X001ZWRFPN,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0010,B0CZC7Z3JN,X001ZWRFP3,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0011,B0CZBV4MCP,X001ZWRE81,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0012,B0CZBW1RH7,X001ZX02V1,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0013,B0CZBY1Y97,X001ZWRFOT,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0042CP-0014,B0CZCB2PZY,X001ZWYR1D,Raymond Home Muslim Prayer Mat Traditional Elegant Rugs Jaanemaz Islamic Yarn Dyed Namaz Mat 650 GSM 4 MM Pile - (65 * 100 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF05,B0C2ZNXXLP,X001RLV8V9,Raymond Home Single Quilt Super Soft Microfiber (140x220) Cozy Peach Finish Comforter-Reversible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF05 - New,B0CG3BV6V9,X001UXG1TN,Raymond Home 150 GSM Single Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (140 X 220 Cm) (Pink & Blue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF07 - New,B0CGNG5RWG,X001UXG1U7,Raymond Home 150 GSM Single Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (140 X 220 Cm) (Grey & Yellow),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF08,B0C347GNK2,X001RLQT7R,Raymond Home Single Quilt Super Soft Microfiber (140x220) Cozy Peach Finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF08 - New,B0CGNCM5SJ,X001UXG1UR,Raymond Home 150 GSM Single Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (140 X 220 Cm) (Blue & Turquoise),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF09,B0C3481J8M,X001RLUHD9,Single Quilt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0060QL-BF09 - New,B0CGNDWCKK,X001UXDUH9,Raymond Home 150 GSM Single Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (140 X 220 Cm) (Red & Grey),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0061QL-BF05,B0C2ZK2XV3,X001RLUERX,Raymond Home King Quilt Super Soft Microfiber (220x240) Cozy Peach Finish Comforte-Reversible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0061QL-BF05 - New,B0CGNCVXKP,X001UXG3KP,Raymond Home 150 GSM 150 King Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (220 X 240 Cm) (Pink & Blue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0061QL-BF07 - New,B0CGNFHCDG,X001UXG3KZ,Raymond Home 150 GSM 150 King Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (220 X 240 Cm) (Grey & Yellow),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0061QL-BF08 - New,B0CGNFRLYW,X001UXIBWN,Raymond Home 150 GSM 150 King Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (220 X 240 Cm) (Blue & Turquoise),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0061QL-BF09 - New,B0CGNG9C1G,X001UXG1UH,Raymond Home 150 GSM 150 King Quilt Super Soft Glace Cotton AC Reversible Double Comforter King Size Double Bed for All Weather/Seasons (220 X 240 Cm) (Red & Grey),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0065QL-0001,B0CZLR1BVG,X001ZWYGA5,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Solid Double Size Bed Peach Finish 200 GSM - White (229 x 152 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
0066QL-0001,B0CZLNKYJY,X001ZWT95R,Raymond Home Microfiber Quilt All Season AC Soft Lightweight Blanket Solid Super King Size Bed Peach Finish 100 GSM - White (229 x 254 CM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,UAE,aurio_uae
